,事業所名,郵便番号,住所,代表者,従業員数,ツクリンクURL,Webサイト
393,高真建設株式会社,120-0044,東京都足立区千住緑町3-15-16,,40,https://tsukulink.net/tokyo/city_131211/248513,
394,OHKAWA CRAFT,121-0832,東京都足立区古千谷本町4-3-8,大川 元一,40,https://tsukulink.net/tokyo/city_131211/847686,
395,MEC,120-0014,東京都足立区西綾瀬3丁目9-19,箱田正幸,40,https://tsukulink.net/tokyo/city_131211/836262,
396,小松設備,,,小松,40,https://tsukulink.net/tokyo/city_131211/835428,
397,株式会社LINO GROWTH,120-0005,東京都足立区綾瀬1-21-8,岩本雅樹,40,https://tsukulink.net/tokyo/city_131211/833977,
398,佐野建設,123-0855,東京都足立区本木南町12-2,佐野裕章,40,https://tsukulink.net/tokyo/city_131211/832500,
399,美住クリーン,120-0001,東京都足立区大谷田2-23-6 第二大信マンション206,佐藤 樹,40,https://tsukulink.net/tokyo/city_131211/831305,
400,伊原興行,123-0841,東京都足立区西新井4-28-10,伊原,40,https://tsukulink.net/tokyo/city_131211/829732,
401,原田工業,,,原田 寛之,40,https://tsukulink.net/tokyo/city_131211/813286,
402,Misery,121-0831,東京都足立区舎人1-3-11,,40,https://tsukulink.net/tokyo/city_131211/804543,
403,JOINT,120-0015,東京都足立区足立4-41-5,,3,https://tsukulink.net/tokyo/city_131211/795431,
404,D-spec,120-0001,東京都足立区大谷田1-36-1-217,,40,https://tsukulink.net/tokyo/city_131211/788521,
405,横内電気設備株式会社,121-0053,東京都足立区佐野2-6-19　アーク佐野A107,横内裕生,40,https://tsukulink.net/tokyo/city_131211/782165,
406,下地工業,121-0813,東京都足立区竹の塚2-10-13,下地 諒,40,https://tsukulink.net/tokyo/city_131211/777842,
407,結-LINK-,,,植木 結斗,40,https://tsukulink.net/tokyo/city_131211/766942,
408,鈴木総建,121-0823,東京都足立区伊興3-17-22　プレビジョンイコー　201号,鈴木 彰純,40,https://tsukulink.net/tokyo/city_131211/753449,
409,西野,120-0014,東京都足立区,西野海輝,40,https://tsukulink.net/tokyo/city_131211/749405,
410,Five.R東京,123-0872,東京都足立区江北,古澤竜慈,40,https://tsukulink.net/tokyo/city_131211/750054,
411,株式会社千住商事,120-0043,東京都足立区千住宮元町30-16-113,宮本武,40,https://tsukulink.net/tokyo/city_131211/748024,
412,株式会社 四菱,120-0002,東京都足立区中川2-3-12野口ビル201,上坂元 学,40,https://tsukulink.net/tokyo/city_131211/251391,
413,アイリス,,,,,https://tsukulink.net/tokyo/city_131211/253731,
414,合同会社プランツエンジニアリング,121-0075,東京都足立区一ツ家１－１７－９,中澤 幹介,40,https://tsukulink.net/tokyo/city_131211/254133,
415,WIRELESS SUPPORT Inc,123-0841,東京都足立区西新井,須藤,4,https://tsukulink.net/tokyo/city_131211/827049,
416,瑞祥塗装,,,野中和徳,3,https://tsukulink.net/tokyo/city_131211/761122,
417,八百板工芸有限会社,120-0026,東京都足立区千住旭町17-13,八百板厚,40,https://tsukulink.net/tokyo/city_131211/264708,
418,株式会社 秀後,121-0812,東京都足立区西保木間,,40,https://tsukulink.net/tokyo/city_131211/460285,
419,株式会社 アドバンス,120-0033,東京都足立区千住寿町6-16,,40,https://tsukulink.net/tokyo/city_131211/780323,
420,井上興業,,,井上悠人,40,https://tsukulink.net/tokyo/city_131211/836758,
421,リファイン,121-0815,東京都足立区島根4-23-3,,40,https://tsukulink.net/tokyo/city_131211/809252,
422,合同会社mica,121-0076,東京都足立区平野1-15-28,,40,https://tsukulink.net/tokyo/city_131211/750827,
423,太東貿易株式会社建設事業部,121-0816,東京都足立区梅島２－３８－７,久我定夫,40,https://tsukulink.net/tokyo/city_131211/461666,
424,千住メンテナンス,120-0037,東京都足立区千住河原町,,40,https://tsukulink.net/tokyo/city_131211/244797,
425,有限会社アーバン,121-0062,東京都足立区南花畑１－１２－３,,40,https://tsukulink.net/tokyo/city_131211/242815,
426,栄電業（株）,123-0845,東京都足立区西新井本町５−４−１,坂本 雄一,40,https://tsukulink.net/tokyo/city_131211/884217,
427,（株）栗原設備,121-0053,東京都足立区佐野１−２８−６,栗原 信一,40,https://tsukulink.net/tokyo/city_131211/876628,
428,（株）篠田工務店,121-0816,東京都足立区梅島３−１５−１３,篠田 隆好,40,https://tsukulink.net/tokyo/city_131211/866363,
429,（株）ワールド工業,121-0061,東京都足立区花畑３−４２−１５,高橋 敦也,40,https://tsukulink.net/tokyo/city_131211/861359,
430,（有）青木建創,121-0832,東京都足立区古千谷本町２−１３−２,青木 豊,40,https://tsukulink.net/tokyo/city_131211/857888,
431,（株）ティーエムディー,120-0025,東京都足立区千住東１−７−１２,佐藤 秀臣,40,https://tsukulink.net/tokyo/city_131211/823597,
432,翔栄工業（株）,121-0813,東京都足立区竹の塚６−１−１２第八丸本ビル２０１,篠崎 一希,40,https://tsukulink.net/tokyo/city_131211/815027,
433,（有）中沢硝子建窓,121-0072,東京都足立区保塚町８−２９,中沢 仁郎,40,https://tsukulink.net/tokyo/city_131211/811008,
434,プレストファーレ（株）,121-0801,東京都足立区東伊興３−４−８−１０１,原田 美千代,40,https://tsukulink.net/tokyo/city_131211/761128,
435,有限会社ダイアテック,123-0864,東京都足立区鹿浜４−２３−９,小針 正博,40,https://tsukulink.net/tokyo/city_131211/760739,
436,フィールドテクノ（株）,121-0075,東京都足立区一ツ家３−９−８−２０７,本村 将彦,40,https://tsukulink.net/tokyo/city_131211/745811,
437,グッドテック,123-0845,東京都足立区西新井本町2の5の29,,3,https://tsukulink.net/tokyo/city_131211/744231,
438,浜松美装,121-0801,東京都足立区東伊興1-10-18-第一201,赤塚 雄守,6,https://tsukulink.net/tokyo/city_131211/739186,
439,（株）辰巳建設,121-0836,東京都足立区入谷８−１−１４,佐藤 哲也,5,https://tsukulink.net/tokyo/city_131211/431576,
440,株式会社Being next,121-0064,東京都足立区保木間1-18-10-1F,齋藤亨,40,https://tsukulink.net/tokyo/city_131211/256050,
441,棟真工業株式会社,123-0841,東京都足立区西新井3-2-17,,40,https://tsukulink.net/tokyo/city_131211/256319,
442,Re・ホーム,123-0845,東京都足立区西新井本町2-7-1,大島,2,https://tsukulink.net/tokyo/city_131211/754961,
443,力丸総研,120-0005,東京都1丁目11番4,,40,https://tsukulink.net/tokyo/city_131211/741080,
444,中村興業,121-0057,東京都足立区神明南2-3-18　フォーラム北綾瀬106,中村善信,40,https://tsukulink.net/tokyo/city_131211/255839,
445,大三工業,123-0872,東京都足立区江北,松原 実,40,https://tsukulink.net/tokyo/city_131211/881557,
446,株式会社解良工務店,120-0004,東京都足立区東綾瀬3-12-14,解良 淳一,40,https://tsukulink.net/tokyo/city_131211/873316,
447,相和建設株式会社,120-0045,東京都足立区千住桜木2-8-1,山崎 光博,40,https://tsukulink.net/tokyo/city_131211/867013,
448,ICHIBOU,,,武藤 大輝,40,https://tsukulink.net/tokyo/city_131211/865337,
449,相和建設株式会社,120-0045,東京都足立区千住桜木2-8-1,山崎 光博,40,https://tsukulink.net/tokyo/city_131211/862370,
450,ONE TEAM株式会社,121-0052,東京都足立区六木3-22-3,細田 拓磨,40,https://tsukulink.net/tokyo/city_131211/863200,
451,工夫JAPAN合同会社,120-0046,東京都足立区小台2-2-16,若松 輝,40,https://tsukulink.net/tokyo/city_131211/868332,
452,（有）エスケーエンジニアリング,121-0075,東京都足立区一ツ家２−６−７,原川 健一郎,40,https://tsukulink.net/tokyo/city_131211/845141,
453,ＧＯＡＴＨ,121-0061,東京都足立区花畑6-13-1-,羽鳥,40,https://tsukulink.net/tokyo/city_131211/769427,
454,みやび仮設建友事業協同組合,120-0034,東京都足立区千住1丁目４-1東京芸術センター1905,,40,https://tsukulink.net/tokyo/city_131211/659660,
455,ヤマダ,121-0836,東京都足立区入谷,,1,https://tsukulink.net/tokyo/city_131211/657966,
456,㈲タカ美装,123-0872,東京都足立区江北6-27-4-303,,40,https://tsukulink.net/tokyo/city_131211/652282,
457,（有）丸進機工,123-0872,東京都足立区江北４−５−１１,植木 進,40,https://tsukulink.net/tokyo/city_131211/420751,
458,株式会社鷹巣建工,121-0823,東京都足立区伊興,,40,https://tsukulink.net/tokyo/city_131211/247370,
459,仲 工務店,121-0801,東京都足立区東伊興1-12-22,,40,https://tsukulink.net/tokyo/city_131211/247438,
460,小池塗装合同会社,1210076,東京都足立区平野１丁目１９番２９号,小池 博晃,40,https://tsukulink.net/tokyo/city_131211/245505,
461,水建塗装店,120-0038,東京都足立区千住橋戸町,水内建一,1,https://tsukulink.net/tokyo/city_131211/840830,
462,株式会社伊豆興産エンジニアリング,120-0034,東京都足立区千住4-9-2-205,芦原和昭,40,https://tsukulink.net/tokyo/city_131211/813357,
463,マーチ,,,,2,https://tsukulink.net/tokyo/city_131211/780063,
464,株式会社グラウンドルート,120-0005,東京都足立区綾瀬2丁目29-8,,40,https://tsukulink.net/tokyo/city_131211/776098,
465,株式会社 丸濱,121-0832,東京都足立区古千谷本町2-2-15,濱元裕介,40,https://tsukulink.net/tokyo/city_131211/772950,
466,新征総業,123-0873,東京都足立区扇,古澤 征義,40,https://tsukulink.net/tokyo/city_131211/747698,
467,ダルマ工業,123-0845,東京都足立区西新井本町1の2の5,,6,https://tsukulink.net/tokyo/city_131211/744546,
468,すずきﾌﾞﾛｯｸ工事店,121-0831,東京都足立区舎人6-2-2,,40,https://tsukulink.net/tokyo/city_131211/267559,
469,インテリア ヨネカワ,121-0832,東京都足立区古千谷本町3-4-10,米川 誠,40,https://tsukulink.net/tokyo/city_131211/263940,
470,塚田電気,,,塚田和剛,40,https://tsukulink.net/tokyo/city_131211/256244,
471,前田工業,121-0053,東京都足立区佐野1-19-8,,40,https://tsukulink.net/tokyo/city_131211/249043,
472,株式会社ブラスト・エフ,123-0865,東京都足立区新田2丁目21-9,福地,40,https://tsukulink.net/tokyo/city_131211/3948,
473,株式会社 大建設,120-0002,東京都足立区中川2-8-6,,40,https://tsukulink.net/tokyo/city_131211/251733,
474,工房唐絵,123-0862,東京都足立区皿沼,松浦 純平,40,https://tsukulink.net/tokyo/city_131211/853716,
475,山内興業,,,山内 将司,40,https://tsukulink.net/tokyo/city_131211/883114,
476,三瓶板金,121-0064,東京都足立区保木間3-37-2メゾン東201,,40,https://tsukulink.net/tokyo/city_131211/805073,
477,株式会社オルカ,121-0052,東京都足立区六木3-36-12,,40,https://tsukulink.net/tokyo/city_131211/789088,
478,（有）政工業,123-0863,東京都足立区谷在家３−２３−５,森口 政男,40,https://tsukulink.net/tokyo/city_131211/884503,
479,株式会社PRIPRISE,121-0011,東京都足立区中央本町4-22-17,石橋慶一,40,https://tsukulink.net/tokyo/city_131211/843809,
480,ベルズ設備,121-0053,東京都足立区佐野1-14-4,アルファマニ ベルズ,40,https://tsukulink.net/tokyo/city_131211/838972,
481,川崎内装,123-0851,東京都足立区梅田,川崎宏,40,https://tsukulink.net/tokyo/city_131211/819151,
482,株式会社三桜,121-0831,東京都足立区舎人2-9-5,櫻井聖吾,40,https://tsukulink.net/tokyo/city_131211/814712,
483,東工務店,,,,40,https://tsukulink.net/tokyo/city_131211/800316,
484,アーティカル,121-0064,東京都足立区保木間3-15-14,関山翔太,40,https://tsukulink.net/tokyo/city_131211/785168,
485,TRC合同会社,123-0842,東京都足立区栗原3-10-19-407,菅 大蔵,24,https://tsukulink.net/tokyo/city_131211/782103,
486,有限会社八木沢工務店／作業場,121-0836,東京都足立区入谷3丁目11-12,,40,https://tsukulink.net/tokyo/city_131211/764666,
487,GRACE,,,,8,https://tsukulink.net/tokyo/city_131211/753733,
488,（株）クリエート,123-0844,東京都足立区興野1-11-8,,40,https://tsukulink.net/tokyo/city_131211/750519,
489,株式会社工房彩美 アオイリフォーム 足立店,121-0063,東京都足立区東保木間2-8-12,飯島 勝之,16,https://tsukulink.net/tokyo/city_131211/744767,
490,佐野基礎,121-0824,東京都足立区西伊興,,40,https://tsukulink.net/tokyo/city_131211/661484,
491,モトムラ電装,120-0001,東京都足立区大谷田３－６－５,本村 一,40,https://tsukulink.net/tokyo/city_131211/263193,
492,八木トランステック(株),123-0864,東京都足立区鹿浜5-5-4,八木 崇文,40,https://tsukulink.net/tokyo/city_131211/254206,
493,株式会社三枝内装,123-0872,東京都足立区江北6-19-2,三枝明彦,40,https://tsukulink.net/tokyo/city_131211/251215,
494,有限会社 進栄低熱工業所,1210064,東京都足立区保木間5-23-29,,40,https://tsukulink.net/tokyo/city_131211/245190,
495,AIM内装,,,小澤 雅宏,4,https://tsukulink.net/tokyo/city_131211/269961,
496,坂田塗装,120-0024,東京都足立区千住関屋町,坂田  英,40,https://tsukulink.net/tokyo/city_131211/263953,
497,謙俊建装,121-0061,東京都足立区花畑5-5-1-5,齊藤 竜也,40,https://tsukulink.net/tokyo/city_131211/261028,
498,株式会社narahara,123-0864,東京都足立区鹿浜7-25-11,奈良原幸徳,40,https://tsukulink.net/tokyo/city_131211/260599,
499,栄工業,123-0873,東京都足立区扇2-17-28-401,,40,https://tsukulink.net/tokyo/city_131211/259883,
500,佐々木工業,120-0015,東京都足立区足立2-41-5-103,佐々木 司,40,https://tsukulink.net/tokyo/city_131211/254588,
501,株式会社 向陽,121-0832,東京都足立区古千谷本町1ｰ7ｰ12,増田 一平,40,https://tsukulink.net/tokyo/city_131211/252339,
502,井上塗装,121-0064,東京都足立区保木間2-13-3 ララアリエッタC-102,井上 友哉,40,https://tsukulink.net/tokyo/city_131211/251956,
503,ペンテック,1210064,東京都足立区保木間2-5-9,神野 和宏,40,https://tsukulink.net/tokyo/city_131211/248746,
504,株式会社粂川建装,121-0076,東京都足立区一ツ家1-1-7  1F,,40,https://tsukulink.net/tokyo/city_131211/246968,
505,青柳内装,120-0005,東京都足立区綾瀬2-41,青柳 徹,40,https://tsukulink.net/tokyo/city_131211/243850,
506,株式会社インフィル,120-0023,東京都足立区千住柳町4-７,野宮 慎一朗,40,https://tsukulink.net/tokyo/city_131211/735453,
507,（株）テナントハウス,120-0005,東京都足立区綾瀬3-7-4,八木 司,40,https://tsukulink.net/tokyo/city_131211/652850,
508,HIT 株式会社,121-0054,東京都足立区辰沼2-2-1,,40,https://tsukulink.net/tokyo/city_131211/738249,
509,KKK,121-0056,東京都足立区北加平町,窪嶋聖人,40,https://tsukulink.net/tokyo/city_131211/845432,
510,TOUWAコーポレーション,123-0841,東京都足立区西新井4-43-4,宮崎直人,2,https://tsukulink.net/tokyo/city_131211/830351,
511,エスユースタッフ,121-0061,東京都足立区花畑2-14-7,内田裕司,4,https://tsukulink.net/tokyo/city_131211/821881,
512,土井建築株式会社,123-0864,東京都足立区鹿浜2-35-12,土井 岳,40,https://tsukulink.net/tokyo/city_131211/817152,
513,株式会社河原工務店,121-0062,東京都足立区南花畑２−４７−５,河原栄二,40,https://tsukulink.net/tokyo/city_131211/817885,
514,多摩ソフトウエア有限会社,120-0034,東京都足立区千住３－６ツオード千住壱番館８０１,副島正一郎,40,https://tsukulink.net/tokyo/city_131211/808897,
515,剣持,121-0824,東京都足立区西伊興,,40,https://tsukulink.net/tokyo/city_131211/803938,
516,舎人公園,,,,40,https://tsukulink.net/tokyo/city_131211/800416,
517,堀越シーリング,120-0047,東京都足立区宮城2-9-6,,40,https://tsukulink.net/tokyo/city_131211/795953,
518,西村工業,123-0851,東京都足立区梅田６ー１２ー５,,40,https://tsukulink.net/tokyo/city_131211/780964,
519,株式会社 高橋商事,121-0813,東京都足立区竹の塚2-29-12,,40,https://tsukulink.net/tokyo/city_131211/778039,
520,SSK,121-0075,東京都足立区一ツ家2-12-8,,40,https://tsukulink.net/tokyo/city_131211/765799,
521,須藤,123-0845,東京都足立区西新井本町,,40,https://tsukulink.net/tokyo/city_131211/745596,
522,牛山装業,121-0836,東京都足立区入谷3-14-16,牛山亮太,40,https://tsukulink.net/tokyo/city_131211/744110,
523,株式会社英君,120-0002,東京都足立区中川,,40,https://tsukulink.net/tokyo/city_131211/654406,
524,啓建設,121-0073,東京都足立区六町4-4-14,小向啓太,4,https://tsukulink.net/tokyo/city_131211/654603,
525,山洪株式会社,123-0863,東京都足立区谷在家3-11-4,,0,https://tsukulink.net/tokyo/city_131211/461556,
526,笹沼塗装,,,笹沼,40,https://tsukulink.net/tokyo/city_131211/458870,
527,いしかわ塗装,121-0836,東京都足立区舎人5-28-19,,40,https://tsukulink.net/tokyo/city_131211/266084,
528,(有)ＭＡＸ,123-0861,東京都足立区加賀１－１７－１４,,40,https://tsukulink.net/tokyo/city_131211/262738,
529,戸村 将志,1230851,東京都足立区梅田1-22-9,戸村,40,https://tsukulink.net/tokyo/city_131211/258781,
530,メイクアライン,1200000,東京都足立区,佐藤,40,https://tsukulink.net/tokyo/city_131211/253831,
531,株式会社三枝内装,123-0872,東京都足立区江北,三枝明彦,40,https://tsukulink.net/tokyo/city_131211/251645,
532,丸昇 株式会社,120-0024,東京都足立区千住関屋町3-5,,18,https://tsukulink.net/tokyo/city_131211/250746,
533,サンテック株式会社,123-0851,東京都足立区梅田5-18-12,,40,https://tsukulink.net/tokyo/city_131211/249500,
534,幸良工業,120-0041,東京都足立区千住元町28-5,幸良 龍太朗,40,https://tsukulink.net/tokyo/city_131211/246750,
535,威建工業,120-0041,東京都足立区千住元町35-1-421,,40,https://tsukulink.net/tokyo/city_131211/246550,
536,井上塗装,1210064,東京都足立区保木間2-13-3,,40,https://tsukulink.net/tokyo/city_131211/246154,
537,米山 港,1210823,東京都足立区伊興4ー10ー7,,40,https://tsukulink.net/tokyo/city_131211/246519,
538,上山内装,1210823,東京都足立区伊興,,40,https://tsukulink.net/tokyo/city_131211/245198,
539,株式会社 ACT,121-0062,東京都足立区南花畑4−25−12−102,吉田 光洋,40,https://tsukulink.net/tokyo/city_131211/847721,
540,株式会社エムラクス,120-0001,東京都足立区大谷田3-12-23-808,,40,https://tsukulink.net/tokyo/city_131211/650322,
541,桐伸空調エンジニアリング,123-0853,東京都足立区本木,片桐 照基,40,https://tsukulink.net/tokyo/city_131211/812761,
542,竹内エンジニアリング工業有限会社,123-0864,東京都足立区鹿浜2-2-15,竹内 大典,40,https://tsukulink.net/tokyo/city_131211/877578,
543,株式会社ライフホーム,121-0823,東京都足立区伊興3丁目23-34 102,佐々木 貴文,40,https://tsukulink.net/tokyo/city_131211/877438,
544,株式会社高和建設,120-0005,東京都足立区綾瀬1-28-7第41新井ビル101,高木 一,40,https://tsukulink.net/tokyo/city_131211/875972,
545,"That Man, Avantgarde 武内",,,武内 優季,40,https://tsukulink.net/tokyo/city_131211/874414,
546,株式会社SMiiE,123-0841,東京都足立区西新井2-28-14,吉田 翔,40,https://tsukulink.net/tokyo/city_131211/872962,
547,株式会社KMR,121-0061,東京都足立区花畑,小室 裕輝,40,https://tsukulink.net/tokyo/city_131211/869134,
548,株式会社成幸,121-0823,東京都足立区伊興,西川 紹之,40,https://tsukulink.net/tokyo/city_131211/867968,
549,YF電工,,,藤田 裕貴,40,https://tsukulink.net/tokyo/city_131211/867235,
550,福本建装,121-0011,東京都足立区中央本町,福本 將人,40,https://tsukulink.net/tokyo/city_131211/863252,
551,船越工業,121-0064,東京都足立区保木間,船越龍馬,40,https://tsukulink.net/tokyo/city_131211/834743,
552,㈲八木沢工務店,121-0836,東京都足立区入谷,八木沢秀人,40,https://tsukulink.net/tokyo/city_131211/824709,
553,Git合同会社,123-0864,東京都足立区鹿浜8-4-5,ムンフサイハン エレデネボロド,40,https://tsukulink.net/tokyo/city_131211/821261,
554,株式会社ダイホウ,123-0851,東京都足立区梅田,生沼夏也,40,https://tsukulink.net/tokyo/city_131211/819418,
555,秋澤シーリング,121-0054,東京都足立区辰沼2-1-11-101,秋澤大樹,40,https://tsukulink.net/tokyo/city_131211/815839,
556,ジャワティー,121-0072,東京都足立区保塚町6-28-102,徳堂智彦,40,https://tsukulink.net/tokyo/city_131211/816408,
557,株式会社アクア,121-0831,東京都足立区舎人2-4-10,久保誠二郎,40,https://tsukulink.net/tokyo/city_131211/805125,
558,M's,121-0063,東京都足立区東保木間1-24-9-107,三松 涼太,40,https://tsukulink.net/tokyo/city_131211/751887,
559,Realise,121-0062,東京都足立区南花畑4-12-18,,1,https://tsukulink.net/tokyo/city_131211/751178,
560,株式会社三協工務店,1230864,東京都足立区鹿浜2-40-4-301,鶴谷,40,https://tsukulink.net/tokyo/city_131211/248769,
561,齋藤 正,123-0864,東京都足立区鹿浜4-10-4,齋藤 輝正,40,https://tsukulink.net/tokyo/city_131211/243466,
562,K's-Home,1210073,東京都足立区六町3ｰ7ｰ47ｰ302,,40,https://tsukulink.net/tokyo/city_131211/242811,
563,オフィス MANYU,121-0823,東京都足立区伊興2-14-12,,40,https://tsukulink.net/tokyo/city_131211/737605,
564,遠山建装,123-0853,東京都足立区本木2-30-8-203,遠山愼史,40,https://tsukulink.net/tokyo/city_131211/660276,
565,高橋建装,121-0801,東京都東京都足立区東伊興3-4-12,高橋一真,40,https://tsukulink.net/tokyo/city_131211/265071,
566,株式会社STM,121-0831,東京都足立区舎人6-5-15,最上 龍哉,40,https://tsukulink.net/tokyo/city_131211/255640,
567,アルスペイント,121-0061,東京都足立区花畑3-12-4,田中豪,40,https://tsukulink.net/tokyo/city_131211/250468,
568,有限会社アスワン,121-0061,東京都足立区花畑4-25-4-201,津曲一尋,40,https://tsukulink.net/tokyo/city_131211/245170,
569,石橋塗装,123-0864,東京都足立区鹿浜5,,40,https://tsukulink.net/tokyo/city_131211/245622,
570,齋藤美装,1210832,東京都足立区古千谷本町2#6#3,,40,https://tsukulink.net/tokyo/city_131211/245641,
571,株式会社アイアンコルク,120-0025,東京都足立区千住東1-26-8,,40,https://tsukulink.net/tokyo/city_131211/795190,
572,Rise Coating,121-0815,東京都足立区島根2-11-3-204,,40,https://tsukulink.net/tokyo/city_131211/762038,
573,叶 装工,120-0005,東京都足立区綾瀬,山中 清一,40,https://tsukulink.net/tokyo/city_131211/881061,
574,阿部雅之,,,阿部 雅之,40,https://tsukulink.net/tokyo/city_131211/880221,
575,東京リフレッシュ株式会社,120-0014,東京都足立区西綾瀬2-7-9,田﨑 一幸,40,https://tsukulink.net/tokyo/city_131211/878889,
576,伯鶴左官,,,市川 勇基,40,https://tsukulink.net/tokyo/city_131211/877955,
577,宮本建設,,,宮本 健太,40,https://tsukulink.net/tokyo/city_131211/876509,
578,原田工業株式会社,121-0075,東京都足立区一ツ家,原田 裕也,40,https://tsukulink.net/tokyo/city_131211/875878,
579,株式会社オキノ,123-0845,東京都足立区西新井本町,仁佐瀬 康夫,40,https://tsukulink.net/tokyo/city_131211/873399,
580,井上,120-0037,東京都足立区千住河原町,井上 貴心,40,https://tsukulink.net/tokyo/city_131211/867914,
581,イトー建物株式会社,123-0874,東京都足立区堀之内2-2-9,伊東 創一,40,https://tsukulink.net/tokyo/city_131211/867357,
582,株式会社伸栄塗装,120-0031,東京都足立区千住大川町 45-3,島田 政義,40,https://tsukulink.net/tokyo/city_131211/863705,
583,村田,121-0052,東京都足立区六木2-4-25,村田 宏業,40,https://tsukulink.net/tokyo/city_131211/864317,
584,大島商事,,,,40,https://tsukulink.net/tokyo/city_131211/804873,
585,GT山合同会社,121-0064,東京都足立区保木間,,40,https://tsukulink.net/tokyo/city_131211/800210,
586,株式会社ベクトルスペース,120-0005,東京都足立区綾瀬4-22-22,,40,https://tsukulink.net/tokyo/city_131211/786659,
587,中川商事,120-0002,東京都足立区中川,,40,https://tsukulink.net/tokyo/city_131211/779095,
588,S•T•P,123-0855,東京都足立区本木南町27-3-2F,,40,https://tsukulink.net/tokyo/city_131211/775309,
589,増田内装,,,,40,https://tsukulink.net/tokyo/city_131211/772523,
590,有限会社 アトリエ４０１,121-0812,東京都有限会社　アトリエ４０１,,40,https://tsukulink.net/tokyo/city_131211/773005,
591,こだいら木建,,,,40,https://tsukulink.net/tokyo/city_131211/768373,
592,鈴木電気,121-0812,東京都足立区保木間1,,40,https://tsukulink.net/tokyo/city_131211/756086,
593,日本情報建設株式会社,123-0842,東京都足立区栗原1の2の3,,40,https://tsukulink.net/tokyo/city_131211/749685,
594,日本建託株式会社,123-0842,東京都足立区栗原1の5の 1,,40,https://tsukulink.net/tokyo/city_131211/748507,
595,あきよし電器,121-0054,東京都足立区辰沼2-18-18-108,豊島 秀雄,40,https://tsukulink.net/tokyo/city_131211/747705,
596,㈲大森工務店,123-0845,東京都足立区,,40,https://tsukulink.net/tokyo/city_131211/658821,
597,T.M,123-0841,東京都足立区西新井3-23-9,太田,40,https://tsukulink.net/tokyo/city_131211/653880,
598,株式会社ＲＤ空間設計,123-0842,東京都足立区栗原3-21-11,内田廣輝,40,https://tsukulink.net/tokyo/city_131211/459549,
599,インテリアＭ ,123-0853,東京都足立区本木,松田 喜世志,40,https://tsukulink.net/tokyo/city_131211/284502,
600,ShuTec合同会社,121-0051,東京都足立区神明三丁目25番14号,東海林 秀一,40,https://tsukulink.net/tokyo/city_131211/883488,
601,萬  yolos,120-0045,東京都足立区千住桜木2-7-2,,5,https://tsukulink.net/tokyo/city_131211/736956,
602,Arc  Believe,121-0824,東京都足立区西伊興4-7-4,木村亮太,40,https://tsukulink.net/tokyo/city_131211/661579,
603,小野工業,121-0051,東京都5240014,,4,https://tsukulink.net/tokyo/city_131211/654045,
604,Tak建装,121-0071,東京都足立区東六月町,新田拓人,40,https://tsukulink.net/tokyo/city_131211/263209,
605,SKセラミック,121-0836,東京都足立区入谷9-9-5,工藤千梨那,40,https://tsukulink.net/tokyo/city_131211/260321,
606,草柳,120-0002,東京都足立区中川,,40,https://tsukulink.net/tokyo/city_131211/251580,
607,信友ホームS,1210801,東京都足立区東伊興2-7-1,,40,https://tsukulink.net/tokyo/city_131211/249751,
608,株式会社B-SUCCESSO,121-0061,足立区花畑1-28-12-101,,40,https://tsukulink.net/companies/248656,
609,大和建工株式会社,121-0816,東京都足立区梅島2-25-3,福元誠,7,https://tsukulink.net/tokyo/city_131211/652934,
610,トータルインテリアワークス,121-0816,東京都足立区梅島2-1-9,高橋  豊,40,https://tsukulink.net/tokyo/city_131211/459629,
611,結真,123-0841,東京都足立区西新井4-22-7第二宝マンション305,小林高行,40,https://tsukulink.net/tokyo/city_131211/250859,
612,株式会社 タカボシ,121-0074,東京都足立区西加平2-3-10,,40,https://tsukulink.net/tokyo/city_131211/267762,
613,株式会社アーサー,120-0011,東京都足立区中央本町1-11-1,,40,https://tsukulink.net/tokyo/city_131211/267353,
614,株式会社 朝日トータルマネージメント,1230864,東京都足立区鹿浜6-11-16,,40,https://tsukulink.net/tokyo/city_131211/265757,
615,株式会社 塚本建設,1210054,東京都足立区辰沼 2-2-18,,40,https://tsukulink.net/tokyo/city_131211/263642,
616,株式会社 市崎,121-0836,東京都足立区入谷５－１４－１７,,40,https://tsukulink.net/tokyo/city_131211/262973,
617,クリーンウエスト,,,西川 紹之,40,https://tsukulink.net/tokyo/city_131211/870402,
618,エムズワン株式会社,121-0813,東京都足立区竹の塚6-11-12 YASHIO.Bldg.3F,小原 浩志,40,https://tsukulink.net/tokyo/city_131211/882056,
619,（株）エムズワークス,123-0857,東京都足立区本木北町,松下 茂,40,https://tsukulink.net/tokyo/city_131211/879662,
620,アクアウェーブ,,,湯山 等,40,https://tsukulink.net/tokyo/city_131211/876794,
621,WOC,120-0001,東京都足立区大谷田,牛濱 雄也,40,https://tsukulink.net/tokyo/city_131211/869098,
622,Nishitec,,,,40,https://tsukulink.net/tokyo/city_131211/661226,
623,(株)飛澤建設,123-0851,東京都足立区梅田,,40,https://tsukulink.net/tokyo/city_131211/655128,
624,有限会社 一功,120-0006,東京都足立区谷中3－4－3－101,池田 茂,40,https://tsukulink.net/tokyo/city_131211/652860,
625,栃内装,120-0014,東京都足立区西綾瀬2-1-9,栃内,40,https://tsukulink.net/tokyo/city_131211/460618,
